Mitigation,Response,Treatment,mean,lcl,ucl
NetPanels,LTDU,0,0.0246414937571863,0.000128459630437933,0.160534066458241
NetPanels,LTDU,1,0.121421560838747,0.00920032992812251,0.562201822708641
NetPanels,LTDU,0,0.0246414937571863,0.000128459630437933,0.160534066458241
NetPanels,LTDU,1,0.121421560838747,0.00920032992812251,0.562201822708641
NetPanels,TOT,0,0.395530593384319,0.143333589990005,1.08397252778452
NetPanels,TOT,1,0.326909029752873,0.0881052610413177,0.991467678149705
NetPanels,LTDU,0,0.0243691631517243,0.000113384946712775,0.156385147043291
NetPanels,LTDU,1,0.121820992992325,0.00953104860727292,0.557704313123042
NetPanels,VESC,0,0.316672754250825,0.122000562677798,0.863543042241602
NetPanels,VESC,1,0.193785667618309,0.0430401091949857,0.628509804634913
WhiteLights,TOT,0,0.392806166201948,0.0354153726716524,1.48162925886127
WhiteLights,TOT,1,0.890109075673979,0.172221006667545,2.65249969086818
WhiteLights,LTDU,0,0.245566179331302,0.0152552797000269,1.06593718756988
WhiteLights,LTDU,1,0.73025292738534,0.12057840812152,2.31465183723114
GreenLights,TOT,0,0.322469082245281,0.0683849578691073,0.993128967565825
GreenLights,TOT,1,0.289701198978958,0.0621404495753744,0.896537348684952
GreenLights,LTDU,0,0.237398973491687,0.0450768149720303,0.800971398733287
GreenLights,LTDU,1,0.212343399794342,0.0429999682398599,0.710147607391519
NetPanels,TOT,0,0.395622057295793,0.143211337673748,1.08342162992607
NetPanels,TOT,1,0.326755164202621,0.0874968937281775,0.991225855625102
NetPanels,LTDU,0,0.0244992645722968,0.00014795837767402,0.153724577049648
NetPanels,LTDU,1,0.121741715549702,0.00977473698947356,0.554984454565302
NetPanels,VESC,0,0.317736843335352,0.122502428823341,0.868836395376334
NetPanels,VESC,1,0.192696962562471,0.0422726184713854,0.644699590283352
WhiteLights,TOT,0,0.390852678220748,0.0351483813042565,1.47756207815758
WhiteLights,TOT,1,0.892154164834961,0.172176536613493,2.65830705575857
WhiteLights,LTDU,0,0.24798519235084,0.0155115557978001,1.07495369467139
WhiteLights,LTDU,1,0.727504270983276,0.119677765420798,2.30438217829864
GreenLights,TOT,0,0.322318875589663,0.068067892721891,0.996171201493655
GreenLights,TOT,1,0.289349840101425,0.0620918449524194,0.899933367006196
GreenLights,LTDU,0,0.236515410816075,0.0456257687107639,0.797100466571027
GreenLights,LTDU,1,0.213269549836634,0.0434800950848469,0.712141611150972
NetPanels,FISH,0,3.91156220382896,2.2095519859942,6.36695509117843
NetPanels,FISH,1,4.01378774650019,2.25830081083044,6.47907836205717
WhiteLights,FISH,0,8.38567387567184,5.54216826343023,11.910807166869
WhiteLights,FISH,1,9.1524890378314,6.47440608659325,12.3263372938922
GreenLights,FISH,0,54.7942132720658,50.8081631664184,59.3821321725973
GreenLights,FISH,1,53.4048268160585,49.6658442702236,57.6991774505436
NetPanels,TOT,0,0.251415383813795,0.0388924384695696,0.862404011150419
NetPanels,TOT,1,0.25516127938658,0.0344551993922997,0.868796979102537
NetPanels,LTDU,0,0.0263378365241008,0.000171417825367953,0.152278235543364
NetPanels,LTDU,1,0.0926982357243775,0.00663383150466478,0.376934217734431
NetPanels,VESC,0,0.176467161645368,0.0308689559144745,0.654939723700435
NetPanels,VESC,1,0.151175657051679,0.0186635151074352,0.573813445649875
NetPanels,FISH,0,3.92065312287483,2.21539134183044,6.37831795756753
NetPanels,FISH,1,4.02668539822129,2.27271837712821,6.49788767353785
WhiteLights,FISH,0,8.412749252746,5.53183898377349,11.9994571216554
WhiteLights,FISH,1,9.12486033136301,6.47939680036941,12.283975634969
GreenLights,FISH,0,54.7931880760472,50.8019345295177,59.3869109827005
GreenLights,FISH,1,53.4056974683203,49.6663665124983,57.7039804171326
